Localidad,Codigo UTA 2020,Codigo UTA 2010,Latitud,Longitud,Municipio,Departamento,Provincia
VILLA SANTOS TESEI,064080408010002,064080408010002,-34.61239445,-58.65381037,HURLINGHAM,HURLINGHAM,BUENOS AIRES
HURLINGHAM,064080408010001,064080408010001,-34.59309314,-58.63572095,HURLINGHAM,HURLINGHAM,BUENOS AIRES
WILLIAM C. MORRIS,064080408010003,064080408010003,-34.58156228,-58.65830054,HURLINGHAM,HURLINGHAM,BUENOS AIRES
EL ARBOLITO,061750175020000,061750175020000,-33.9147838,-60.94380819,COLON,COLON,BUENOS AIRES
LOS BARRILES,061750175000009,061750175000009,-33.9462889,-61.2276668,COLON,COLON,BUENOS AIRES
COLONIA LA PERLA,061750175000004,061750175000004,-33.97042426,-61.07620535,COLON,COLON,BUENOS AIRES
SARASA,061750175040000,061750175040000,-34.05233531,-61.20190409,COLON,COLON,BUENOS AIRES
PEARSON,061750175030000,061750175030000,-33.6518963,-60.89222399,COLON,COLON,BUENOS AIRES
COLON,061750175010000,061750175010000,-33.89786336,-61.09956051,COLON,COLON,BUENOS AIRES
KILOMETRO 404,060840084000007,060840084000007,-37.6438,-59.8529,BENITO JUAREZ,BENITO JUAREZ,BUENOS AIRES
VILLA CACIQUE,060840084050000,060840084050000,-37.67047789,-59.40035334,BENITO JUAREZ,BENITO JUAREZ,BUENOS AIRES
EL SAUCE,060840084000005,060840084000005,-37.66079712,-59.56612397,BENITO JUAREZ,BENITO JUAREZ,BUENOS AIRES
BARKER,060840084010000,060840084010000,-37.64241113,-59.38893803,BENITO JUAREZ,BENITO JUAREZ,BUENOS AIRES
BENITO JUAREZ,060840084020000,060840084020000,-37.67664102,-59.80576771,BENITO JUAREZ,BENITO JUAREZ,BUENOS AIRES
CORONEL RODOLFO BUNGE,060840084000003,060840084000003,-37.5763984,-60.1392005,BENITO JUAREZ,BENITO JUAREZ,BUENOS AIRES
LOPEZ,060840084030000,060840084030000,-37.55451209,-59.62784615,BENITO JUAREZ,BENITO JUAREZ,BUENOS AIRES
SAN ANTONIO,060840084000017,060840084000017,-37.74727631,-59.81640244,BENITO JUAREZ,BENITO JUAREZ,BUENOS AIRES
EL LUCHADOR,060840084000004,060840084000004,-37.3214623,-60.292086,BENITO JUAREZ,BENITO JUAREZ,BUENOS AIRES
LA TINTA,060840084000011,060840084000011,-37.60838699,-59.51456452,BENITO JUAREZ,BENITO JUAREZ,BUENOS AIRES
TEDIN URIBURU,060840084040000,060840084040000,-37.36836863,-59.76303916,BENITO JUAREZ,BENITO JUAREZ,BUENOS AIRES
